"filename", "language", "JSON", "JavaScript", "Markdown", "Ignore", "HTML", "JavaScript JSX", "CSS", "comment", "blank", "total"
"q:\React项目合集(已做)\onresume\src\pages\home\c-cpns\home-service\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 2, 20
"q:\React项目合集(已做)\onresume\src\pages\home\c-cpns\home-service\style.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 6, 2, 14
"q:\React项目合集(已做)\onresume\src\pages\home\c-cpns\home-slide\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 28, 0, 4, 2, 34
"q:\React项目合集(已做)\onresume\src\pages\home\c-cpns\home-slide\style.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 3, 3, 22
"q:\React项目合集(已做)\onresume\src\pages\home\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 93, 0, 2, 3, 98
"q:\React项目合集(已做)\onresume\src\pages\home\style.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 2, 21
"q:\React项目合集(已做)\onresume\src\pages\login\c-cpns\forget-pwd\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 46, 0, 0, 5, 51
"q:\React项目合集(已做)\onresume\src\pages\login\c-cpns\forget-pwd\style.js", "JavaScript", 0, 58, 0, 0, 0, 0, 0, 0, 2, 60
"q:\React项目合集(已做)\onresume\src\pages\login\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 17, 0, 1, 2, 20
"q:\React项目合集(已做)\onresume\src\pages\login\style.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"q:\React项目合集(已做)\onresume\src\pages\my\c-cpns\my-info\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 54, 0, 1, 2, 57
"q:\React项目合集(已做)\onresume\src\pages\my\c-cpns\my-info\style.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 3, 2, 33
"q:\React项目合集(已做)\onresume\src\pages\my\c-cpns\my-order\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 230, 0, 11, 5, 246
"q:\React项目合集(已做)\onresume\src\pages\my\c-cpns\my-resume\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 128, 0, 1, 2, 131
"q:\React项目合集(已做)\onresume\src\pages\my\c-cpns\my-resume\style.js", "JavaScript", 0, 64, 0, 0, 0, 0, 0, 0, 3, 67
"q:\React项目合集(已做)\onresume\src\pages\my\c-cpns\popularize\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 107, 0, 0, 3, 110
"q:\React项目合集(已做)\onresume\src\pages\my\c-cpns\popularize\style.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 3, 9
"q:\React项目合集(已做)\onresume\src\pages\my\c-cpns\upload-template\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 52, 0, 0, 4, 56
"q:\React项目合集(已做)\onresume\src\pages\my\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 3, 21
"q:\React项目合集(已做)\onresume\src\pages\my\style.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"q:\React项目合集(已做)\onresume\src\pages\register\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 11, 0, 0, 3, 14
"q:\React项目合集(已做)\onresume\src\pages\register\style.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 2, 4
"q:\React项目合集(已做)\onresume\src\pages\resume-company\c-cards\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 67, 0, 0, 4, 71
"q:\React项目合集(已做)\onresume\src\pages\resume-company\c-cards\style.js", "JavaScript", 0, 103, 0, 0, 0, 0, 0, 2, 11, 116
"q:\React项目合集(已做)\onresume\src\pages\resume-company\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 3, 18
"q:\React项目合集(已做)\onresume\src\pages\resume-company\style.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\drawer-tabs\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 106, 0, 2, 5, 113
"q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-helpOpt\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 47, 0, 1, 2, 50
"q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-helpOpt\style.js", "JavaScript", 0, 102, 0, 0, 0, 0, 0, 0, 12, 114
"q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-helper\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 18, 0, 1, 4, 23
"q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-helper\style.js", "JavaScript", 0, 60, 0, 0, 0, 0, 0, 0, 8, 68
"q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-main\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 78, 0, 5, 3, 86
"q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-main\style.js", "JavaScript", 0, 63, 0, 0, 0, 0, 0, 4, 6, 73
"q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\basicInfoTab\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 142, 0, 7, 4, 153
"q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\basicInfoTab\style.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 1, 3, 30
"q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\campusExperienceTab\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 49, 0, 0, 2, 51
"q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\campusExperienceTab\style.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 2, 4
"q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\certificateHonorTab\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 11, 0, 0, 2, 13
"q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\editor-inputs\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 39, 0, 0, 4, 43
"q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-tabPanel\c-cpns\editor-inputs\style.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
